"Result","Trial","Arena","Assay","ChDate","Sex","LizID","LizID_etho","Trt","TotalDist","Velocity","NovItem_Freq","NovItem_Duration","NovItem_LatFirst","NovZone_Freq","NovZone_Duration","NovZone_LatFirst","Hide_Freq","Hide_Duration","Hide_DurationOrig","Hide_LatFirst","Entry_Freq","Entry_Duration","Entry_LatFirst","Social_Freq","Social_Duration","Social_LatFirst","Neutral_Freq","Neutral_Duration","Neutral_LatFirst","Asocial_Freq","Asocial_Duration","Asocial_LatFirst","Arena_Freq","Arena_Duration","Arena_LatFirst","LizID_nums","LizID_num","liz_capture_date","liz_collect_site","date_of_measurements","hlen","hwid","EndMass","mass","svl","tail_length","liz_status","liz_death_date","liz_notes"
"Result 1","Trial     1","Arena 1","Exploration","CH1_20.12.15_DVR1","F","ld0055",50,"Low",788.021,"0.656684",5,5.16,676.16,16,25.24,0.44,26,668.92,668.92,27.24,47,42.24,27.12,8,135.84,0,18,79.92,6.92,37,315.36,11.84,1,1200.04,0,50,NA,"1/09/2015","SP","1/09/2015",7.06,5.12,0.943,0.9,37,56,"ALIVE","","Updated tc from tc0115 on 6/12/16"
"Result 1","Trial     1","Arena 1","Exploration","CH1_16.12.15_DVR2","F","ld0134",134,"High",1093.5,"0.911248",0,0,NA,4,66.08,340.84,9,169.16,169.16,148.56,17,38.88,116.92,13,499.8,0,24,202.64,99.48,21,328.44,109.6,1,1200.04,0,134,NA,"7/09/2015","MP","7/09/2015",6.71,4.81,1.165,0.9,38,55,"ALIVE","",""
"Result 1","Trial     1","Arena 3","Exploration","CH1_20.12.15_DVR1","F","ld0019",19,"High",1167.3,"0.972749",10,35.64,98.4,28,138.08,5.64,5,112.04,112.04,517.84,36,118.6,36.28,15,318.32,0,38,252.04,10.44,29,517.64,31.92,1,1200.04,0,19,NA,"30/08/2015","UNSWKen","30/08/2015",7.21,4.93,1.287,1.3,41,66,"ALIVE","",""
"Result 1","Trial     1","Arena 3","Exploration","CH1_16.12.15_DVR3","F","ld0114",114,"Low",1209.94,"1.00828",1,0.68,358.68,4,20.16,306.72,10,217.28,217.28,97.96,28,166.92,13.12,10,261.08,0,23,146.4,6.56,24,575.28,7.8,1,1200.04,0,NA,114,"5/09/2015","SP","5/09/2015",7.18,5.38,1.179,1.2,40,57,"ALIVE","","1 bite marks on ventral "
"Result 1","Trial     1","Arena 4","Exploration","CH1_20.12.15_DVR1","F","ld0112",112,"High",289.964,"0.241636",1,16.28,882.64,3,25.32,873,5,95,95,956.64,26,48.56,913.56,2,933.36,0,3,40.04,899.2,7,131.64,912.36,1,1200.04,0,112,NA,"5/09/2015","SP","5/09/2015",7.12,5.04,1.29,1.1,41,64,"ALIVE","","1 bite marks on ventral "
"Result 1","Trial     1","Arena 4","Exploration","CH1_16.12.15_DVR2","F","ld0022",22,"Low",835.283,"0.696069",2,0.92,486.56,5,7.72,485.12,25,321.16,321.16,231.24,43,178.04,231.04,7,514.16,0,13,38.64,226.16,32,326.08,230.6,1,1200.04,0,22,NA,"30/08/2015","UNSWKen","30/08/2015",6.95,5.33,1.441,1.5,44,65,"ALIVE","",""
"Result 1","Trial     1","Arena 4","Exploration","CH1_16.12.15_DVR3","F","ld0053",53,"High",88.3804,"0.0736503",0,0,NA,0,0,NA,1,868.56,868.56,331.48,2,155.8,145.4,1,143.72,0,2,5.92,143.72,2,181.84,144.6,1,1200.04,0,NA,53,"1/09/2015","SP","1/09/2015",7.2,5.22,1.264,1.2,40,64,"ALIVE","","few bite marks on ventral "
"Result 1","Trial     2","Arena 1","Exploration","CH2_16.12.15_DVR3","F","ld0063",63,"High",420.913,"0.350761",1,1.04,874.92,5,45.44,870.08,13,50.8,50.8,576.76,21,411.68,341.84,6,562.32,0,8,24.2,330.28,16,562.72,332.44,1,1200.04,0,NA,63,"1/09/2015","SP","1/09/2015",6.79,5.12,1.21,1.1,40,48,"ALIVE","","few bite marks on ventral. Regrown tail at the end "
"Result 1","Trial     2","Arena 2","Exploration","CH2_20.12.15_DVR1","F","ld0031",31,"Low",1421.65,"1.18471",8,6.44,685.44,28,45.48,595.16,50,361.36,361.36,281.92,61,307.6,11.84,17,241.88,0,33,101.4,7.48,66,495.4,11.72,1,1200.04,0,31,NA,"30/08/2015","UNSWKen","30/08/2015",7.38,5.01,1.22,1.2,41,55,"ALIVE","","bite marks (i.e. from copulation) on ventral. Updated tc from tc0051on 6/12/16"
"Result 1","Trial     2","Arena 2","Exploration","CH2_16.12.15_DVR2","F","ld0062",62,"Low",609.217,"0.50768",0,0,NA,0,0,NA,9,419.52,419.52,421.32,33,354.72,237.92,3,265,0,7,18.68,226.56,14,496.84,229.56,1,1200.04,0,62,NA,"1/09/2015","SP","1/09/2015",6.94,5.08,1.08,1,39,59,"ALIVE","","bite marks (i.e. from copulation) on ventral. Updated TC 6/12/16, original tc0130"
