Result,Trial,Arena,Assay,ChDate,Sex,LizID,LizID_nums,LizID_etho,Trt,TotalDist,Velocity,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial     1,Arena 1,Exploration,CH1_20.12.15_DVR1,F,ld0050,0050,50,Low,788.021,0.656684,5,5.16,676.16,16,25.24,0.44,26,668.92,668.92,27.24,47,42.24,27.12,8,135.84,0,18,79.92,6.92,37,315.36,11.84,1,1200.04,0
Result 1,Trial     1,Arena 2,Exploration,CH1_20.12.15_DVR1,M,ld0151,0151,151,High,38.4017,0.0320014,0,0,NA,0,0,NA,7,1124.44,1124.44,56.88,12,3.24,1.64,0,0,NA,0,0,NA,7,75.6,0,1,1200.04,0
Result 1,Trial     1,Arena 3,Exploration,CH1_20.12.15_DVR1,F,ld0019,0019,19,High,1167.3,0.972749,10,35.64,98.4,28,138.08,5.64,5,112.04,112.04,517.84,36,118.6,36.28,15,318.32,0,38,252.04,10.44,29,517.64,31.92,1,1200.04,0
Result 1,Trial     1,Arena 4,Exploration,CH1_20.12.15_DVR1,F,ld0112,0112,112,High,289.964,0.241636,1,16.28,882.64,3,25.32,873,5,95,95,956.64,26,48.56,913.56,2,933.36,0,3,40.04,899.2,7,131.64,912.36,1,1200.04,0
Result 1,Trial     2,Arena 1,Exploration,CH2_20.12.15_DVR1,M,ld0018,0018,18,High,124.004,0.103337,2,1.84,90.64,6,11.56,89.68,1,1047.32,1047.32,152.72,1,0.88,151.84,1,147.88,0,1,2.36,147.88,1,2.48,150.24,1,1200.04,0
Result 1,Trial     2,Arena 2,Exploration,CH2_20.12.15_DVR1,F,ld0031,0031,31,Low,1421.65,1.18471,8,6.44,685.44,28,45.48,595.16,50,361.36,361.36,281.92,61,307.6,11.84,17,241.88,0,33,101.4,7.48,66,495.4,11.72,1,1200.04,0
Result 1,Trial     2,Arena 3,Exploration,CH2_20.12.15_DVR1,F,ld0029,0029,29,Low,40.3643,0.0336392,1,0.56,52.72,2,0.4,52.44,1,1145.68,1145.68,54.36,1,0.6,53.76,1,53.28,0,1,0.44,53.28,1,0.64,53.72,1,1200.04,0
Result 1,Trial     2,Arena 4,Exploration,CH2_20.12.15_DVR1,F,ld0038,0038,38,High,630.224,0.525187,2,15.56,47.2,7,29.84,45.48,28,763.96,763.96,50.36,29,48.6,49.76,6,156.64,0,15,78,1.32,34,201.44,2.2,1,1200.04,0
Result 1,Trial     3,Arena 1,Exploration,CH3_20.12.15_DVR1,F,ld0074,0074,74,Low,82.16,0.0684666,0,0,NA,0,0,NA,9,1170.08,1170.08,20.8,13,7.08,14.2,1,6.8,0,1,2.32,6.8,9,20.84,9.12,1,1200.04,0
Result 1,Trial     3,Arena 2,Exploration,CH3_20.12.15_DVR1,M,ld0051,0051,51,High,241.315,0.201096,0,0,NA,0,0,NA,41,983.16,983.16,98.64,45,45.48,97.56,2,85.48,0,2,11.2,52.84,42,120.2,58.52,1,1200.04,0
Result 1,Trial     3,Arena 3,Exploration,CH3_20.12.15_DVR1,F,ld0003,0003,3,Low,211.671,0.176393,1,7.72,1010.44,5,11.52,1008.84,10,960.28,960.28,40.48,11,32.12,39.04,2,164.4,0,3,18.52,25.72,11,56.84,31.88,1,1200.04,0
Result 1,Trial     3,Arena 4,Exploration,CH3_20.12.15_DVR1,M,ld0137,0137,137,High,52.8646,0.0440539,0,0,NA,0,0,NA,1,1182.76,1182.76,17.28,1,0.8,16.48,1,13.16,0,1,3.08,13.16,1,1.04,16.24,1,1200.04,0
Result 1,Trial     4,Arena 1,Exploration,CH4_20.12.15_DVR1,M,ld0075,0075,75,High,250.13,0.208456,1,1.96,1074.72,4,13.6,1070.44,5,982.6,982.6,50.92,7,23.8,50.72,4,120.2,0,7,21.72,14.08,7,75.52,24,1,1200.04,0
Result 1,Trial     4,Arena 2,Exploration,CH4_20.12.15_DVR1,F,ld0083,0083,83,High,730.964,0.609137,3,4.16,889.64,9,56.32,172.72,127,449.96,449.96,230.84,152,213.4,230.48,5,301.88,0,10,112.6,180.6,133,335.6,209.08,1,1200.04,0
Result 1,Trial     4,Arena 3,Exploration,CH4_20.12.15_DVR1,F,ld0124,0124,124,High,122.39,0.101991,0,0,NA,1,8.08,1190.6,12,1150.36,1150.36,29.08,13,7.28,28.88,3,26.16,0,3,6.92,16.4,13,16.6,20.04,1,1200.04,0
Result 1,Trial     4,Arena 4,Exploration,CH4_20.12.15_DVR1,F,ld0093,0093,93,Low,163.284,0.13607,0,0,NA,3,43.24,677.64,16,370.84,370.84,742.44,17,16.92,738.32,2,684,0,3,79.52,683.76,17,65.68,712.92,1,1200.04,0
Result 1,Trial     5,Arena 1,Exploration,CH1_21.12.15_DVR1,F,ld0050,0050,50,Low,1345.37,1.12114,5,6.48,527.52,20,49,329.12,52,497.56,497.56,55.16,70,40.84,54.56,14,257.28,0,28,128.08,50.92,66,317.12,52.12,1,1200.04,0
Result 1,Trial     5,Arena 2,Exploration,CH1_21.12.15_DVR1,M,ld0151,0151,151,High,62.8926,0.0524105,0,0,NA,0,0,NA,4,1161.6,1161.6,36.32,4,3.04,35.4,1,24.56,0,1,1.92,24.56,4,11.96,26.48,1,1200.04,0
Result 1,Trial     5,Arena 3,Exploration,CH1_21.12.15_DVR1,F,ld0019,0019,19,High,1453.15,1.21096,2,3.68,176.48,13,20.44,16.08,81,210.52,210.52,36.16,95,160.48,36.24,13,386.76,0.72,26,141.52,0,94,461.24,28.2,1,1200.04,0
Result 1,Trial     5,Arena 4,Exploration,CH1_21.12.15_DVR1,F,ld0112,0112,112,High,398.614,0.332178,3,40.36,630.56,8,64.64,587.88,15,378.16,378.16,331.84,17,123.6,322.72,6,650.64,0,8,34.92,311.76,17,136.32,320.32,1,1200.04,0
Result 1,Trial     6,Arena 1,Exploration,CH2_21.12.15_DVR1,M,ld0018,0018,18,High,79.2497,0.0660414,0,0,NA,7,15.52,70.04,1,1081.72,1081.72,118.32,1,1.12,117.2,1,111.08,0,1,4.24,111.08,1,3,115.32,1,1200.04,0
Result 1,Trial     6,Arena 2,Exploration,CH2_21.12.15_DVR1,F,ld0031,0031,31,Low,685.59,0.571325,2,2.44,12.92,21,36,12.8,84,833.44,833.44,13.56,84,42.76,13.28,10,190.04,0,18,60.4,13.04,91,116.16,13.24,1,1200.04,0
Result 1,Trial     6,Arena 3,Exploration,CH2_21.12.15_DVR1,F,ld0029,0029,29,Low,348.506,0.290421,0,0,NA,6,11.68,564.4,45,578.16,578.16,5.48,55,461.28,4.96,3,50,0,5,18.96,2.4,48,552.92,3.72,1,1200.04,0
Result 1,Trial     6,Arena 4,Exploration,CH2_21.12.15_DVR1,F,ld0038,0038,38,High,1337.23,1.11435,5,15,87.48,18,43.16,2.28,45,229.88,229.88,4.92,39,75.4,4.4,14,277.92,0,34,123.4,3.08,61,568.84,4.12,1,1200.04,0
Result 1,Trial     7,Arena 1,Exploration,CH3_21.12.15_DVR1,F,ld0074,0074,74,Low,597.51,0.497925,2,1.12,769.8,6,156.4,243.04,118,408.84,408.84,251.2,112,103.6,251.12,6,542.16,0,11,43.36,245.2,123,205.68,249.2,1,1200.04,0
Result 1,Trial     7,Arena 2,Exploration,CH3_21.12.15_DVR1,M,ld0051,0051,51,High,230.749,0.192291,0,0,NA,0,0,NA,13,865.32,865.32,76.28,18,102.12,74.12,2,35.44,0,3,61.28,18.52,14,238,60.28,1,1200.04,0
Result 1,Trial     7,Arena 3,Exploration,CH3_21.12.15_DVR1,F,ld003,003,3,Low,825.456,0.68788,2,5.24,870.72,11,208.64,293.2,40,183.72,183.72,664.68,46,59.2,631.44,7,673.96,0,15,97.68,486.92,49,244.68,509.72,1,1200.04,0
Result 1,Trial     7,Arena 4,Exploration,CH3_21.12.15_DVR1,M,ld0137,0137,137,High,68.7933,0.0573277,0,0,NA,0,0,NA,10,1132.4,1132.4,63.48,10,4.72,62.92,1,48.04,0,1,4.16,48.04,10,15.44,52.2,1,1200.04,0
Result 1,Trial     8,Arena 1,Exploration,CH4_21.12.15_DVR1,M,ld0075,0075,75,High,518.697,0.432248,4,7.8,859.92,13,69.6,0,67,650.08,650.08,144.72,71,99.12,143.6,5,237.48,0,8,55,123.48,70,257.48,143.36,1,1200.04,0
Result 1,Trial     8,Arena 2,Exploration,CH4_21.12.15_DVR1,F,ld0083,0083,83,High,887.953,0.739961,7,40.44,9.24,16,50.56,7.44,80,500.4,500.4,59.92,87,130.56,58.76,7,302.8,0,16,84.96,52.88,89,311.88,58.48,1,1200.04,0
Result 1,Trial     8,Arena 3,Exploration,CH4_21.12.15_DVR1,F,ld0124,0124,124,High,96.7764,0.080647,0,0,NA,0,0,NA,7,1060.84,1060.84,89.48,9,45.96,87.68,1,77.16,0,1,1.64,77.16,7,60.4,78.8,1,1200.04,0
Result 1,Trial     8,Arena 4,Exploration,CH4_21.12.15_DVR1,F,ld0093,0093,93,Low,77.4466,0.0645388,1,4.8,400.84,2,401.4,0,1,786.84,786.84,413.2,1,0.92,412.28,1,405.6,0,1,5.72,405.6,1,1.88,411.32,1,1200.04,0
Result 1,Trial     9,Arena 1,Exploration,CH1_22.12.15_DVR1,F,ld0050,0050,50,Low,471.453,0.392878,1,1.76,972.6,4,5.84,751.56,20,106.4,106.4,1023.64,22,193.8,761.4,3,858.72,0,7,19.92,756.16,21,215,760.4,1,1200.04,0
Result 1,Trial     9,Arena 2,Exploration,CH1_22.12.15_DVR1,M,ld0151,0151,151,High,121.498,0.101248,0,0,NA,0,0,NA,10,983,983,214.72,6,2,215.88,1,190.76,0,1,16.96,190.76,10,9.32,207.72,1,1200.04,0
Result 1,Trial     9,Arena 3,Exploration,CH1_22.12.15_DVR1,F,ld0019,0019,19,High,270.437,0.225364,1,1.16,127.88,5,14.52,126,36,133.84,133.84,33.32,39,915.16,32.84,2,66.52,127.16,4,38,106,39,961.68,0,1,1200.04,0
Result 1,Trial     9,Arena 4,Exploration,CH1_22.12.15_DVR1,F,ld0112,0112,112,High,117.684,0.0980698,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,1,1200.04,0,0,0,NA,0,0,NA,1,1200.04,0
Result 1,Trial    10,Arena 1,Exploration,CH2_22.12.15_DVR1,M,ld0018,0018,18,High,67.8447,0.0565373,0,0,NA,0,0,NA,4,1165.04,1165.04,34.24,4,1.28,33.72,1,30.96,0,1,2.08,30.96,4,1.96,33.04,1,1200.04,0
Result 1,Trial    10,Arena 2,Exploration,CH2_22.12.15_DVR1,F,ld0031,0031,31,Low,339.357,0.282797,3,11.68,25.88,16,31.2,21.36,2,1003.56,1003.56,58.12,4,9.92,57.92,7,108.96,9.88,10,52.84,0,5,34.68,57.48,1,1200.04,0
Result 1,Trial    10,Arena 3,Exploration,CH2_22.12.15_DVR1,F,ld0029,0029,29,Low,80.7733,0.0673111,0,0,NA,0,0,NA,4,1137.04,1137.04,62.8,4,1.12,61.88,1,34,0,1,9.72,34,4,19.28,43.72,1,1200.04,0
Result 1,Trial    10,Arena 4,Exploration,CH2_22.12.15_DVR1,F,ld0038,0038,38,High,430.969,0.359141,0,0,NA,2,7.44,1084.2,20,821.84,821.84,53.64,27,47.12,40.76,5,160.36,0,7,47.08,22.56,23,170.76,30.76,1,1200.04,0
Result 1,Trial    11,Arena 1,Exploration,CH3_22.12.15_DVR1,F,ld0074,0074,74,Low,606.655,0.505562,3,5.8,42.96,21,129.4,41.88,77,499.24,499.24,47.72,85,169.56,47.04,6,324.32,0,12,101.4,43.44,83,275.08,46.24,1,1200.04,0
Result 1,Trial    11,Arena 2,Exploration,CH3_22.12.15_DVR1,M,ld0051,0051,51,High,334.657,0.278899,0,0,NA,0,0,NA,65,619.6,619.6,128.36,71,203.8,126.04,3,159.84,0,9,96.28,100.24,72,324.32,103.6,1,1200.04,0
Result 1,Trial    11,Arena 3,Exploration,CH3_22.12.15_DVR1,F,ld003,003,3,Low,530.325,0.441937,2,3.56,806.08,5,12.76,804.32,79,738.64,738.64,35.12,90,101.44,28.72,4,170.28,0,9,102.16,17.88,84,188.96,21.08,1,1200.04,0
Result 1,Trial    11,Arena 4,Exploration,CH3_22.12.15_DVR1,M,ld0137,0137,137,High,56.693,0.0472442,0,0,NA,1,3.08,0,11,1168.12,1168.12,27.72,11,4.24,27.32,1,20.24,0,1,2.16,20.24,11,9.52,22.4,1,1200.04,0
Result 1,Trial    12,Arena 1,Exploration,CH4_22.12.15_DVR1,M,ld0075,0075,75,High,393.58,0.327983,5,40.84,75.2,11,97.04,65.48,9,655.48,655.48,265.28,17,20.52,262.28,11,333,0,14,87.56,96.12,13,124,98.68,1,1200.04,0
Result 1,Trial    12,Arena 2,Exploration,CH4_22.12.15_DVR1,F,ld0083,0083,83,High,205.582,0.171319,0,0,NA,3,291.36,0,32,764.64,764.64,323.6,30,32.32,320.72,3,361.68,0,5,8.6,316.64,34,65.12,319.76,1,1200.04,0
Result 1,Trial    12,Arena 3,Exploration,CH4_22.12.15_DVR1,F,ld0124,0124,124,High,617.649,0.514707,1,5.2,672.52,5,24.28,484.64,58,788.6,788.6,33.16,62,56,33.32,3,119.2,455.4,13,58.24,29.48,68,234,0,1,1200.04,0
Result 1,Trial    12,Arena 4,Exploration,CH4_22.12.15_DVR1,F,ld0093,0093,93,Low,127.627,0.106355,0,0,NA,0,0,NA,1,786.52,786.52,413.52,2,2.96,410.08,1,398.92,0,1,5.36,398.92,1,9.24,404.28,1,1200.04,0
Result 1,Trial    13,Arena 1,Exploration,CH1_23.12.15_DVR1,F,ld0050,0050,50,Low,574.448,0.744875,1,2.56,637.36,11,16.32,0,47,797.04,368.52,454.56,65,59.56,454.32,8,145.36,0,12,40.8,439.64,52,216.84,441.96,2,771.52,0
Result 1,Trial    13,Arena 2,Exploration,CH1_23.12.15_DVR1,M,ld0151,0151,151,High,735.763,0.631188,1,1.28,270.92,10,15,132.6,52,544.8,510.8,139.4,75,55.92,139.28,7,377.28,0,15,59.28,134.76,62,218.68,137.52,3,1166.04,0
Result 1,Trial    13,Arena 3,Exploration,CH1_23.12.15_DVR1,F,ld0019,0019,19,High,727.875,0.637793,4,15,220.44,14,55.12,218.44,73,450.2,391.6,9.88,84,235,0,7,260.72,65.4,16,91.36,52.28,83,397.76,0,2,1141.44,0
Result 1,Trial    13,Arena 4,Exploration,CH1_23.12.15_DVR1,F,ld0112,0112,112,High,164.451,0.137043,0,0,NA,1,12.72,1174.92,0,0,0,NA,1,0.08,3.84,4,43.64,1140.88,5,19.48,1136.08,2,1136.92,0,1,1200.04,0
Result 1,Trial    14,Arena 1,Exploration,CH2_23.12.15_DVR1,M,ld0018,0018,18,High,666.922,0.555769,9,22.92,108.04,21,64.64,82.52,33,51.08,51.08,112.92,76,307.04,112.12,8,423.84,0,14,265.8,108.44,37,459.32,111.76,1,1200.04,0
Result 1,Trial    14,Arena 2,Exploration,CH2_23.12.15_DVR1,F,ld0031,0031,31,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Result 1,Trial    14,Arena 3,Exploration,CH2_23.12.15_DVR1,F,ld0029,0029,29,Low,31.2849,0.0499344,1,0.52,5.16,2,5.52,0,3,1191.44,618.08,8.32,3,1.16,7.24,1,5.72,0,2,1.6,5.72,3,1.28,7.12,1,626.68,0
Result 1,Trial    14,Arena 4,Exploration,CH2_23.12.15_DVR1,F,ld0038,0038,38,High,578.43,0.482025,1,0.64,1025.8,7,201.2,461.2,31,206.08,206.08,73.04,43,28.76,72.8,4,582.44,125.4,13,105.12,119.68,36,306.4,0,1,1200.04,0
