Result	Trial	Arena	Assay	ChDate	Sex	LizID	Trt	TotalDist	Velocity	Social_Freq	Social_Duration	Social_LatFirst	Neutral_Freq	Neutral_Duration	Neutral_LatFirst	Asocial_Freq	Asocial_Duration	Asocial_LatFirst	NovItem_Freq	NovItem_Duration	NovItem_LatFirst	NovZone_Freq	NovZone_Duration	NovZone_LatFirst	Hide_Freq	Hide_Duration	Hide_DurationOrig	Hide_LatFirst	Entry_Freq	Entry_Duration	Entry_LatFirst	Arena_Freq	Arena_Duration	Arena_LatFirst
Result 1	Trial     1	Arena 1	Exploration	CH1_16.12.15_DVR2	F	134	High	1093.5	0.911248	13	499.8	0	24	202.64	99.48	21	328.44	109.6	0	0	NA	4	66.08	340.84	9	169.16	169.16	148.56	17	38.88	116.92	1	1200.04	0
Result 1	Trial     1	Arena 2	Exploration	CH1_16.12.15_DVR2	M	24	High	754.815	0.629013	5	220.24	0	11	91	102.72	39	314.2	105.28	1	1	1161.76	4	4.76	1143.48	32	574.6	574.6	109.68	46	155.68	106.56	1	1200.04	0
Result 1	Trial     1	Arena 3	Exploration	CH1_16.12.15_DVR2	M	117	High	1172.16	0.976797	8	217.96	0	16	44.92	120.72	53	587.52	121.4	2	0.72	120.28	14	11.36	119.96	44	349.64	349.64	121.68	87	225.28	121.52	1	1200.04	0
Result 1	Trial     1	Arena 4	Exploration	CH1_16.12.15_DVR2	F	22	Low	835.283	0.696069	7	514.16	0	13	38.64	226.16	32	326.08	230.6	2	0.92	486.56	5	7.72	485.12	25	321.16	321.16	231.24	43	178.04	231.04	1	1200.04	0
Result 1	Trial     2	Arena 1	Exploration	CH2_16.12.15_DVR2	M	26	High	832.492	0.693743	9	570.6	0	14	69.36	295.72	11	472.52	300.44	0	0	NA	47	55.16	2.8	5	87.56	87.56	510.88	26	85.72	315.68	1	1200.04	0
Result 1	Trial     2	Arena 2	Exploration	CH2_16.12.15_DVR2	F	62	Low	609.217	0.50768	3	265	0	7	18.68	226.56	14	496.84	229.56	0	0	NA	0	0	NA	9	419.52	419.52	421.32	33	354.72	237.92	1	1200.04	0
Result 1	Trial     2	Arena 3	Exploration	CH2_16.12.15_DVR2	F	81	High	1190.42	0.992018	9	340.72	0	18	67.4	69.32	18	619.08	74.36	0	0	NA	2	6	525.76	8	172.84	172.84	94.64	38	151.24	91.08	1	1200.04	0
Result 1	Trial     2	Arena 4	Exploration	CH2_16.12.15_DVR2	F	80	High	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Result 1	Trial     3	Arena 1	Exploration	CH3_16.12.15_DVR2	F	84	Low	879.208	0.732673	6	701.84	0	13	41.68	504.72	15	388.16	505.92	0	0	NA	1	460.52	0	7	68.36	68.36	549.12	22	123.64	511.88	1	1200.04	0
Result 1	Trial     3	Arena 2	Exploration	CH3_16.12.15_DVR2	F	57	Low	1382	1.15167	17	579.56	0	27	103.08	232.16	19	381.88	233.88	1	0.36	655.68	10	10.48	572.24	8	135.52	135.52	399.16	33	99.8	236.04	1	1200.04	0
Result 1	Trial     3	Arena 3	Exploration	CH3_16.12.15_DVR2	M	92	High	1024.55	0.853791	11	734.68	0	19	50	500.8	12	399.84	503.28	0	0	NA	0	0	NA	2	15.24	15.24	791.8	25	101.8	561.96	1	1200.04	0
Result 1	Trial     3	Arena 4	Exploration	CH3_16.12.15_DVR2	F	66	High	268.369	0.223641	3	72.28	0	4	32.36	42.64	11	284	47	0	0	NA	0	0	NA	9	810.32	810.32	198.96	18	55.28	196.36	1	1200.04	0
Result 1	Trial     4	Arena 1	Exploration	CH4_16.12.15_DVR2	M	36	High	568.229	0.473524	4	230.48	0	7	12.52	110.28	27	297.24	112.48	0	0	NA	0	0	NA	23	659.8	659.8	186.92	30	144.2	147.48	1	1200.04	0
Result 1	Trial     4	Arena 2	Exploration	CH4_16.12.15_DVR2	F	90	High	1029.12	0.857604	10	450.96	0	20	87.8	188.6	44	401.92	190.68	1	0.76	408.64	10	17.68	186.8	33	259.36	259.36	191.48	45	97.28	191.2	1	1200.04	0
Result 1	Trial     4	Arena 3	Exploration	CH4_16.12.15_DVR2	F	141	High	472.138	0.393449	6	380.6	0	11	71.76	340.44	32	225.08	350.96	2	8.44	951.8	7	30.6	945.24	26	522.6	522.6	356.08	32	133.36	355.4	1	1200.04	0
Result 1	Trial     4	Arena 4	Exploration	CH4_16.12.15_DVR2	F	54	Low	829.328	0.691106	10	484.8	0	16	119.16	217	20	517.28	219.92	0	0	NA	5	349.68	0	14	78.8	78.8	553.64	30	242.8	340.28	1	1200.04	0
Result 1	Trial     5	Arena 1	Exploration	CH1_17.12.15_DVR2	F	134	High	55.6263	0.0463553	1	64	0	1	5.96	64	2	8.44	69.96	0	0	NA	0	0	NA	2	1121.64	1121.64	78.36	2	1.64	76.76	1	1200.04	0
Result 1	Trial     5	Arena 2	Exploration	CH1_17.12.15_DVR2	M	24	High	296.053	0.361164	3	31.32	380.28	5	28.08	384.24	16	164.64	389.64	0	0	NA	0	0	NA	14	976	595.72	393.36	28	37.72	391.96	1	819.76	380.28
Result 1	Trial     5	Arena 3	Exploration	CH1_17.12.15_DVR2	M	117	High	939.889	0.783241	9	252.6	0	18	69.48	91.36	23	386.84	93.52	1	0.52	831.96	5	65	668.84	13	491.12	491.12	94.52	29	184.6	94.28	1	1200.04	0
Result 1	Trial     5	Arena 4	Exploration	CH1_17.12.15_DVR2	F	22	Low	753.465	0.627888	7	452.92	0	13	72.44	123.6	37	416	124.52	6	61.8	534.36	16	141.28	0	30	258.68	258.68	187.16	45	205.36	130.68	1	1200.04	0
Result 1	Trial     6	Arena 1	Exploration	CH2_17.12.15_DVR2	M	26	High	113.088	0.0942403	1	514.6	0	1	3.04	514.6	2	3.04	517.64	0	0	NA	2	20.44	481.44	2	679.36	679.36	520.64	2	1.64	519.04	1	1200.04	0
Result 1	Trial     6	Arena 2	Exploration	CH2_17.12.15_DVR2	F	62	Low	95.1229	0.0792691	1	185.68	0	1	1.4	185.68	1	48.72	187.08	0	0	NA	0	0	NA	1	964.24	964.24	235.8	4	30.56	196.36	1	1200.04	0
Result 1	Trial     6	Arena 3	Exploration	CH2_17.12.15_DVR2	F	81	High	871.458	0.726215	4	190.24	0	15	77.84	160.52	26	755.88	162.44	0	0	NA	5	9.32	594.88	14	176.08	176.08	587.6	36	459.92	170.92	1	1200.04	0
