,Trial,Arena,Assay,ChDate,Sex,LizID,Trt,TotalDist,Velocity,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial     1,Arena 1,Exploration,CH1_16.12.15_DVR3,M,0142,High,600.084,0.50007,19,19.04,19.04,238.16,44,665.04,104.08,1,1.24,1115.16,3,64.96,0,3,178.64,0,6,17.04,77.44,23,985.32,80.8,1,1200.04,0
Result 1,Trial     1,Arena 2,Exploration,CH1_16.12.15_DVR3,M,0021,High,471.514,0.392928,38,647.32,647.32,290.04,44,43.16,289.44,1,3.24,276.4,4,280.84,0,5,370.88,0,9,24.88,280.88,43,156.96,287.56,1,1200.04,0
Result 1,Trial     1,Arena 3,Exploration,CH1_16.12.15_DVR3,F,0114,Low,1209.94,1.00828,10,217.28,217.28,97.96,28,166.92,13.12,1,0.68,358.68,4,20.16,306.72,10,261.08,0,23,146.4,6.56,24,575.28,7.8,1,1200.04,0
Result 1,Trial     1,Arena 4,Exploration,CH1_16.12.15_DVR3,F,0053,High,88.3804,0.0736503,1,868.56,868.56,331.48,2,155.8,145.4,0,0,-,0,0,-,1,143.72,0,2,5.92,143.72,2,181.84,144.6,1,1200.04,0
Result 1,Trial     2,Arena 1,Exploration,CH2_16.12.15_DVR3,F,0063,High,420.913,0.350761,13,50.8,50.8,576.76,21,411.68,341.84,1,1.04,874.92,5,45.44,870.08,6,562.32,0,8,24.2,330.28,16,562.72,332.44,1,1200.04,0
Result 1,Trial     2,Arena 2,Exploration,CH2_16.12.15_DVR3,M,0011,High,412.397,0.343745,5,927.12,926.96,77.84,12,76.16,77.16,0,0,-,0,0,-,4,126.28,0,7,23.44,73.36,9,123.2,75.12,1,1199.88,0
Result 1,Trial     2,Arena 3,Exploration,CH2_16.12.15_DVR3,F,0127,Low,771.503,0.642919,9,793.36,793.36,51,28,39.88,50.48,1,0.88,1057.68,2,3.88,1056.28,8,147.04,0,16,23.96,48.56,18,235.68,50,1,1200.04,0
Result 1,Trial     2,Arena 4,Exploration,CH2_16.12.15_DVR3,F,0046,High,492.587,0.410489,8,7.68,7.68,800.6,18,939.4,1.84,1,0.88,1023.52,3,1.96,1022.96,3,60.16,956.92,7,53.04,816,13,1079.16,0,1,1200.04,0
Result 1,Trial     3,Arena 1,Exploration,CH3_16.12.15_DVR3,F,0097,Low,160.672,0.133894,9,1022.48,1022.48,161,12,4.68,158.88,0,0,-,1,2,155.68,2,160.88,0,3,3.96,157.36,11,12.72,158.36,1,1200.04,0
Result 1,Trial     3,Arena 2,Exploration,CH3_16.12.15_DVR3,M,0146,High,128.802,0.107335,4,601.24,601.24,231.72,8,6.08,228.04,0,0,-,0,0,-,1,209.64,0,2,11.56,209.64,5,377.6,215.12,1,1200.04,0
Result 1,Trial     3,Arena 3,Exploration,CH3_16.12.15_DVR3,F,0028,High,730.439,0.608699,13,407.68,407.68,81.44,33,356.4,81.24,0,0,-,3,68.24,0,6,191.56,0,13,39.64,78.68,21,561.16,80.64,1,1200.04,0
Result 1,Trial     3,Arena 4,Exploration,CH3_16.12.15_DVR3,F,0068,Low,568.746,0.473955,24,663.24,663.24,75.48,46,216.64,74.12,1,0.48,1118.4,5,3.24,72.24,4,114.2,0,11,29.96,72.4,32,392.64,73.36,1,1200.04,0
Result 1,Trial     4,Arena 1,Exploration,CH4_16.12.15_DVR3,F,0060,High,196.738,0.163948,8,33.2,33.2,1119.56,14,526.24,613.16,0,0,-,0,0,-,1,605.16,0,1,1.56,605.16,8,560.12,606.72,1,1200.04,0
Result 1,Trial     4,Arena 2,Exploration,CH4_16.12.15_DVR3,F,0048,Low,627.806,0.523172,24,440.96,440.96,14.64,48,285.56,14.2,1,5.88,935.2,3,6.32,934.28,3,130.72,750.4,9,77.96,263.12,30,550.4,0,1,1200.04,0
Result 1,Trial     4,Arena 3,Exploration,CH4_16.12.15_DVR3,M,0002,High,731.295,0.609413,33,81,81,22.56,48,745.76,22.4,0,0,-,3,7.48,797.84,5,170.12,0,13,38.6,14.24,42,910.32,16.64,1,1200.04,0
Result 1,Trial     4,Arena 4,Exploration,CH4_16.12.15_DVR3,M,0135,High,810.771,0.675642,26,304.2,304.2,210.2,54,226.12,209.92,4,129.64,78.48,8,10.12,77.08,7,228.16,77.88,16,157.96,0,34,509.72,209.64,1,1200.04,0
Result 1,Trial     5,Arena 1,Exploration,CH1_17.12.15_DVR3,M,0142,High,413.565,0.344638,20,569.28,569.28,282.12,28,113.72,281.32,2,2.16,407.72,4,17.68,405.96,3,316.96,0,6,31.28,273.04,23,282.52,280.24,1,1200.04,0
